Entity Name,Plant State,Technology,Nameplate Capacity (MW),County,Sector,Operating Year
"Sand Point Generating, LLC",AK,Petroleum Liquids,0.9,Aleutians East,Electric Utility,2000.0
"Sand Point Generating, LLC",AK,Petroleum Liquids,0.9,Aleutians East,Electric Utility,2000.0
"Sand Point Generating, LLC",AK,Petroleum Liquids,0.5,Aleutians East,Electric Utility,2010.0
"Sand Point Generating, LLC",AK,Petroleum Liquids,0.4,Aleutians East,Electric Utility,2023.0
"Sand Point Generating, LLC",AK,Onshore Wind Turbine,0.5,Aleutians East,Electric Utility,2011.0
"Sand Point Generating, LLC",AK,Onshore Wind Turbine,0.5,Aleutians East,Electric Utility,2011.0
Alabama Power Co,AL,Conventional Hydroelectric,53.9,Tuscaloosa,Electric Utility,1963.0
Alabama Power Co,AL,Natural Gas Steam Turbine,153.1,Mobile,Electric Utility,1954.0
Alabama Power Co,AL,Natural Gas Steam Turbine,153.1,Mobile,Electric Utility,1954.0
Alabama Power Co,AL,Conventional Steam Coal,403.7,Mobile,Electric Utility,1969.0
Alabama Power Co,AL,Conventional Steam Coal,788.8,Mobile,Electric Utility,1971.0
Alabama Power Co,AL,Natural Gas Fired Combined Cycle,170.1,Mobile,Electric Utility,2000.0
Alabama Power Co,AL,Natural Gas Fired Combined Cycle,170.1,Mobile,Electric Utility,2000.0
Alabama Power Co,AL,Natural Gas Fired Combined Cycle,195.2,Mobile,Electric Utility,2000.0
Alabama Power Co,AL,Natural Gas Fired Combined Cycle,170.1,Mobile,Electric Utility,2000.0
Alabama Power Co,AL,Natural Gas Fired Combined Cycle,170.1,Mobile,Electric Utility,2000.0
Alabama Power Co,AL,Natural Gas Fired Combined Cycle,195.2,Mobile,Electric Utility,2000.0
Alabama Power Co,AL,Natural Gas Fired Combined Cycle,464.0,Mobile,Electric Utility,2023.0
Alabama Power Co,AL,Natural Gas Fired Combined Cycle,310.0,Mobile,Electric Utility,2023.0
Alabama Power Co,AL,Conventional Hydroelectric,75.0,Elmore,Electric Utility,1967.0
Alabama Power Co,AL,Conventional Hydroelectric,75.0,Elmore,Electric Utility,1967.0
Alabama Power Co,AL,Conventional Hydroelectric,75.0,Elmore,Electric Utility,1967.0
El Paso Electric Co,TX,Natural Gas Fired Combustion Turbine,86.9,El Paso,Electric Utility,1980.0
Alabama Power Co,AL,Natural Gas Steam Turbine,299.2,Greene,Electric Utility,1965.0
Alabama Power Co,AL,Natural Gas Steam Turbine,269.2,Greene,Electric Utility,1966.0
Alabama Power Co,AL,Natural Gas Fired Combustion Turbine,80.0,Greene,Electric Utility,1996.0
Alabama Power Co,AL,Natural Gas Fired Combustion Turbine,80.0,Greene,Electric Utility,1996.0
Alabama Power Co,AL,Natural Gas Fired Combustion Turbine,80.0,Greene,Electric Utility,1995.0
Alabama Power Co,AL,Natural Gas Fired Combustion Turbine,80.0,Greene,Electric Utility,1995.0
Alabama Power Co,AL,Natural Gas Fired Combustion Turbine,80.0,Greene,Electric Utility,1995.0
Alabama Power Co,AL,Natural Gas Fired Combustion Turbine,80.0,Greene,Electric Utility,1995.0
Alabama Power Co,AL,Natural Gas Fired Combustion Turbine,80.0,Greene,Electric Utility,1995.0
Alabama Power Co,AL,Natural Gas Fired Combustion Turbine,80.0,Greene,Electric Utility,1996.0
Alabama Power Co,AL,Natural Gas Fired Combustion Turbine,80.0,Greene,Electric Utility,1996.0
Alabama Power Co,AL,Conventional Hydroelectric,24.3,Calhoun,Electric Utility,1966.0
Alabama Power Co,AL,Conventional Hydroelectric,24.3,Calhoun,Electric Utility,1966.0
Alabama Power Co,AL,Conventional Hydroelectric,24.3,Calhoun,Electric Utility,1966.0
Alabama Power Co,AL,Conventional Hydroelectric,46.9,Tuscaloosa,Electric Utility,1968.0
Alabama Power Co,AL,Conventional Hydroelectric,25.0,Elmore,Electric Utility,1929.0
Alabama Power Co,AL,Conventional Hydroelectric,25.0,Elmore,Electric Utility,1929.0
Alabama Power Co,AL,Conventional Hydroelectric,25.0,Elmore,Electric Utility,1929.0
Alabama Power Co,AL,Conventional Hydroelectric,25.0,Elmore,Electric Utility,1929.0
Alabama Power Co,AL,Conventional Hydroelectric,42.7,Talladega,Electric Utility,1964.0
Alabama Power Co,AL,Conventional Hydroelectric,42.7,Talladega,Electric Utility,1964.0
Alabama Power Co,AL,Conventional Hydroelectric,42.7,Talladega,Electric Utility,1964.0
Alabama Power Co,AL,Conventional Hydroelectric,29.5,Chilton,Electric Utility,1968.0
Alabama Power Co,AL,Conventional Hydroelectric,29.5,Chilton,Electric Utility,1968.0
Alabama Power Co,AL,Conventional Hydroelectric,29.5,Chilton,Electric Utility,1967.0
Alabama Power Co,AL,Conventional Hydroelectric,29.5,Chilton,Electric Utility,1967.0
Alabama Power Co,AL,Conventional Hydroelectric,29.5,Chilton,Electric Utility,1967.0
Alabama Power Co,AL,Conventional Hydroelectric,29.5,Chilton,Electric Utility,1967.0
Alabama Power Co,AL,Conventional Hydroelectric,50.2,Elmore,Electric Utility,1927.0
Alabama Power Co,AL,Conventional Hydroelectric,50.2,Elmore,Electric Utility,1927.0
Alabama Power Co,AL,Conventional Hydroelectric,50.2,Elmore,Electric Utility,1927.0
Alabama Power Co,AL,Conventional Hydroelectric,60.0,Elmore,Electric Utility,1952.0
Alabama Power Co,AL,Conventional Hydroelectric,20.0,Coosa,Electric Utility,1949.0
Alabama Power Co,AL,Conventional Hydroelectric,50.0,Coosa,Electric Utility,1985.0
Alabama Power Co,AL,Conventional Hydroelectric,50.0,Coosa,Electric Utility,1985.0
Alabama Power Co,AL,Conventional Hydroelectric,50.0,Coosa,Electric Utility,1985.0
Alabama Power Co,AL,Conventional Hydroelectric,90.5,Walker,Electric Utility,1961.0
Alabama Power Co,AL,Conventional Hydroelectric,90.5,Walker,Electric Utility,1962.0
Alabama Power Co,AL,Conventional Hydroelectric,40.5,Elmore,Electric Utility,1931.0
Alabama Power Co,AL,Conventional Hydroelectric,40.5,Elmore,Electric Utility,1931.0
Alabama Power Co,AL,Conventional Hydroelectric,10.0,Elmore,Electric Utility,1931.0
Alabama Power Co,AL,Conventional Hydroelectric,29.2,Cherokee,Electric Utility,1962.0
Alabama Power Co,AL,Conventional Hydroelectric,29.2,Cherokee,Electric Utility,1961.0
Alabama Power Co,AL,Conventional Hydroelectric,29.2,Cherokee,Electric Utility,1961.0
Alabama Power Co,AL,Conventional Hydroelectric,25.5,Elmore,Electric Utility,1928.0
Alabama Power Co,AL,Conventional Hydroelectric,25.0,Elmore,Electric Utility,1928.0
Alabama Power Co,AL,Natural Gas Steam Turbine,272.0,Shelby,Electric Utility,1960.0
Alabama Power Co,AL,Natural Gas Steam Turbine,272.0,Shelby,Electric Utility,1960.0
Alabama Power Co,AL,Natural Gas Steam Turbine,272.0,Shelby,Electric Utility,1961.0
Alabama Power Co,AL,Conventional Steam Coal,952.0,Shelby,Electric Utility,1974.0
Alabama Power Co,AL,Petroleum Liquids,21.2,Shelby,Electric Utility,1970.0
Alabama Power Co,AL,Natural Gas Steam Turbine,244.8,Shelby,Electric Utility,1962.0
City of Madelia - (MN),MN,Petroleum Liquids,3.1,Watonwan,Electric Utility,2001.0
City of Madelia - (MN),MN,Petroleum Liquids,2.0,Watonwan,Electric Utility,1965.0
City of Madelia - (MN),MN,Petroleum Liquids,1.1,Watonwan,Electric Utility,1959.0
City of Madelia - (MN),MN,Petroleum Liquids,4.3,Watonwan,Electric Utility,1973.0
City of Madelia - (MN),MN,Petroleum Liquids,1.3,Watonwan,Electric Utility,1954.0
Nevada Irrigation District,CA,Conventional Hydroelectric,12.1,Placer,IPP Non-CHP,1980.0
USCE-Mobile District,AL,Conventional Hydroelectric,33.7,Wilcox,Electric Utility,1970.0
USCE-Mobile District,AL,Conventional Hydroelectric,33.7,Wilcox,Electric Utility,1970.0
USCE-Mobile District,AL,Conventional Hydroelectric,33.7,Wilcox,Electric Utility,1970.0
Tennessee Valley Authority,AL,Nuclear,1281.0,Limestone,Electric Utility,1974.0
Tennessee Valley Authority,AL,Nuclear,1281.0,Limestone,Electric Utility,1975.0
Tennessee Valley Authority,AL,Nuclear,1292.0,Limestone,Electric Utility,1977.0
Tennessee Valley Authority,AL,Natural Gas Fired Combustion Turbine,59.5,Colbert,Electric Utility,1972.0
Tennessee Valley Authority,AL,Natural Gas Fired Combustion Turbine,231.2,Colbert,Electric Utility,2023.0
Tennessee Valley Authority,AL,Natural Gas Fired Combustion Turbine,231.2,Colbert,Electric Utility,2023.0
Tennessee Valley Authority,AL,Natural Gas Fired Combustion Turbine,59.5,Colbert,Electric Utility,1972.0
Tennessee Valley Authority,AL,Natural Gas Fired Combustion Turbine,59.5,Colbert,Electric Utility,1972.0
Tennessee Valley Authority,AL,Natural Gas Fired Combustion Turbine,59.5,Colbert,Electric Utility,1972.0
Tennessee Valley Authority,AL,Natural Gas Fired Combustion Turbine,59.5,Colbert,Electric Utility,1972.0
