Entity Name,Plant State,Technology,Nameplate Capacity (MW),County,Sector,Operating Year
El Paso Electric Co,TX,Natural Gas Fired Combustion Turbine,86.9,El Paso,Electric Utility,1980.0
City of Madelia - (MN),MN,Petroleum Liquids,3.1,Watonwan,Electric Utility,2001.0
City of Madelia - (MN),MN,Petroleum Liquids,2.0,Watonwan,Electric Utility,1965.0
City of Madelia - (MN),MN,Petroleum Liquids,1.1,Watonwan,Electric Utility,1959.0
City of Madelia - (MN),MN,Petroleum Liquids,4.3,Watonwan,Electric Utility,1973.0
City of Madelia - (MN),MN,Petroleum Liquids,1.3,Watonwan,Electric Utility,1954.0
Nevada Irrigation District,CA,Conventional Hydroelectric,12.1,Placer,IPP Non-CHP,1980.0
Metropolitan Water District of S CA,CA,Conventional Hydroelectric,10.1,Los Angeles,Electric Utility,1982.0
New York Power Authority,NY,Conventional Hydroelectric,2.3,Ulster,Electric Utility,1982.0
New York Power Authority,NY,Conventional Hydroelectric,2.3,Ulster,Electric Utility,1982.0
Southern California Edison Co,CA,Hydroelectric Pumped Storage,199.8,Fresno,Electric Utility,1987.0
Seminole Electric Cooperative Inc,FL,Conventional Steam Coal,714.6,Putnam,Electric Utility,1984.0
Seminole Electric Cooperative Inc,FL,Natural Gas Fired Combined Cycle,384.2,Putnam,Electric Utility,2023.0
Seminole Electric Cooperative Inc,FL,Natural Gas Fired Combined Cycle,384.2,Putnam,Electric Utility,2023.0
Seminole Electric Cooperative Inc,FL,Natural Gas Fired Combined Cycle,414.8,Putnam,Electric Utility,2023.0
Modesto Irrigation District,CA,Petroleum Liquids,71.2,Stanislaus,Electric Utility,1980.0
Modesto Irrigation District,CA,Natural Gas Fired Combustion Turbine,71.2,Stanislaus,Electric Utility,1981.0
Turlock Irrigation District,CA,Conventional Hydroelectric,1.1,Stanislaus,Electric Utility,1980.0
Turlock Irrigation District,CA,Conventional Hydroelectric,1.1,Stanislaus,Electric Utility,1980.0
Turlock Irrigation District,CA,Conventional Hydroelectric,1.1,Stanislaus,Electric Utility,1980.0
Turlock Irrigation District,CA,Conventional Hydroelectric,0.5,Stanislaus,Electric Utility,1979.0
Turlock Irrigation District,CA,Conventional Hydroelectric,0.5,Stanislaus,Electric Utility,1979.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,1.0,Shasta,Electric Utility,1981.0
Constellation Nuclear,IL,Nuclear,1138.3,DeWitt,IPP Non-CHP,1987.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,1.0,Placer,Electric Utility,1902.0
Utica Water & Power Authority,CA,Conventional Hydroelectric,1.4,Calaveras,IPP Non-CHP,1940.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,31.0,Fresno,Electric Utility,1927.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,48.6,Fresno,Electric Utility,1958.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,48.6,Fresno,Electric Utility,1958.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,117.9,Plumas,Electric Utility,1969.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,33.0,Plumas,Electric Utility,1928.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,33.0,Plumas,Electric Utility,1928.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,40.0,Plumas,Electric Utility,1958.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,23.8,Plumas,Electric Utility,1921.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,25.0,Plumas,Electric Utility,1921.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,25.0,Plumas,Electric Utility,1924.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,60.3,Plumas,Electric Utility,1958.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,57.6,Plumas,Electric Utility,1958.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,5.5,Butte,Electric Utility,1900.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,0.9,Butte,Electric Utility,1900.0
Sacramento Municipal Util Dist,CA,Conventional Hydroelectric,8.3,El Dorado,Electric Utility,1965.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,12.1,Shasta,Electric Utility,1979.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,36.9,Butte,Electric Utility,1949.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,36.9,Butte,Electric Utility,1950.0
Pacific Gas & Electric Co.,CA,Conventional Hydroelectric,18.4,Butte,Electric Utility,1963.0
